5530	655844	OG0000000	KID59404.1	XP_007826729.1, XP_011411826.1
5530	655844	OG0000000	KID59358.1, KID59214.1, KID59342.1, KID60248.1, KID59629.1, KID60927.1, KID59357.1, KID60237.1, KID60194.1, KID60928.1, KID59401.1, KID59265.1, KID59213.1, KID59415.1, KID59630.1, KID60249.1, KID60195.1, KID59400.1, KID59341.1, KID59343.1, KID59273.1, KID59363.1	XP_011410912.1
5530	655844	OG0000001	KID59655.1, KID61495.1	XP_007826616.1
5530	655844	OG0000001	KID63954.1, KID62627.1	XP_011411267.1
5530	655844	OG0000001	KID66243.1	XP_007825776.2
5530	655844	OG0000001	KID60022.1	XP_007823074.1, XP_007825594.2
5530	655844	OG0000001	KID70241.1	XP_007816308.1, XP_007826539.1, XP_007817109.2, XP_007819387.1, XP_007817072.1, XP_007824259.1, XP_011411285.1
5530	655844	OG0000002	KID59628.1, KID67005.1	XP_007826537.2, XP_007816691.2, XP_011411667.1, XP_011411286.1, XP_007826535.2, XP_011411315.1, XP_007825309.2, XP_011410974.1, XP_011411460.1, XP_007816553.2, XP_007817079.2, XP_007826529.2, XP_007816591.2, XP_007816587.2, XP_007826148.1, XP_007817799.1, XP_011411820.1
5530	655844	OG0000003	KID65883.1	XP_007824638.1
5530	655844	OG0000003	KID68038.1	XP_007823289.1
5530	655844	OG0000003	KID64537.1	XP_007817547.1
5530	655844	OG0000003	KID64385.1	XP_007817604.1
5530	655844	OG0000003	KID62735.1	XP_007816512.1
5530	655844	OG0000003	KID66261.1	XP_007825751.1
5530	655844	OG0000003	KID68213.1	XP_007822284.1
5530	655844	OG0000003	KID62872.1	XP_007816379.1
5530	655844	OG0000005	KID60922.1	XP_007821062.1
5530	655844	OG0000005	KID65087.1	XP_011410852.1
5530	655844	OG0000005	KID64536.1	XP_007817548.1
5530	655844	OG0000005	KID59478.1	XP_007824851.1
5530	655844	OG0000005	KID69103.1	XP_007824744.1
5530	655844	OG0000005	KID59259.1	XP_007824688.1
5530	655844	OG0000005	KID59985.1	XP_007825629.2
5530	655844	OG0000006	KID59353.1	XP_011411726.1
5530	655844	OG0000006	KID59563.1, KID59406.1, KID60211.1, KID60265.1, KID59207.1, KID60222.1, KID60275.1, KID60210.1, KID60264.1, KID59399.1, KID59375.1	XP_007817091.1
5530	655844	OG0000007	KID64555.1	XP_007817535.1
5530	655844	OG0000007	KID61181.1	XP_007824472.2
5530	655844	OG0000007	KID64087.1	XP_011411111.1
5530	655844	OG0000007	KID69137.1	XP_007824707.1
5530	655844	OG0000007	KID61106.1	XP_007824541.2
5530	655844	OG0000007	KID64410.1, KID64408.1	XP_007826303.2
5530	655844	OG0000008	KID70238.1	XP_007816619.2
5530	655844	OG0000008	KID60231.1	XP_007826540.1
5530	655844	OG0000008	KID64046.1	XP_007826696.2, XP_007817838.1
5530	655844	OG0000008	KID62905.1	XP_007816348.1
5530	655844	OG0000008	KID59423.1, KID64060.1	XP_007816291.1
5530	655844	OG0000009	KID65973.1	XP_007825989.2
5530	655844	OG0000009	KID64599.1	XP_007817491.1
5530	655844	OG0000009	KID70046.1	XP_007823555.1
5530	655844	OG0000009	KID68318.1	XP_007822188.2
